Device,in_len,out_len,kernel_size,const_init,lr,batch_size,SMAPE
3,69,7,27,False,0.0002633720719485741,16,14.433193166245536
4,77,6,28,True,0.0016095581409276167,256,19.790322074979922
7,80,1,21,False,0.00015625024344389748,256,7.939074459340772
8,77,4,13,True,6.296501096993807e-05,64,55.2334210508684
10,94,13,15,False,0.0006630880350664971,16,22.05426985475541
11,43,3,12,False,0.00011201892970150141,16,6.28557150799386
13,83,3,22,False,0.0005204969740953132,128,17.31521075411405
15,111,1,15,True,4.504137668212916e-05,256,75.05951618875733
16,72,17,34,True,0.016811713902111135,256,21.801816320018364
18,69,2,12,False,3.832895106890973e-05,16,25.832100251116625
19,18,13,17,False,0.0011910174213845975,32,49.56536090112225
20,101,6,14,False,0.0016659326565257487,32,28.58607372980587
21,157,10,15,False,0.00016496450513721705,32,31.83974224466318
22,111,18,48,False,0.0008454506307081854,16,3.9221127346138815
25,26,4,14,True,0.00018396294267437077,128,6.024950361962636
26,155,1,30,True,0.00035349831474753646,32,5.516191941475345
29,87,8,16,True,0.0007141991204524683,32,11.269127721981489
30,20,9,43,True,0.00026087750903738957,16,18.11135797481147
31,74,10,41,True,0.00019356517952102932,128,7.79994432616764
32,11,6,20,True,0.00054328415556242,16,7.698213122119685
35,162,7,14,True,0.0005549307849170618,128,7.430683561725318
37,51,4,44,True,8.352058223118846e-05,128,22.046952530702885
39,32,2,48,False,2.3833233024458894e-05,16,13.416605231488232
41,44,10,37,True,0.001588012215920835,128,17.301437180804232
43,81,5,45,True,0.0005727395788000673,64,21.216444607331653
45,104,9,31,False,0.00028816969530755476,32,7.612549523335469
46,166,23,48,False,0.00761100310595178,256,13.754995671085792
49,70,2,38,True,4.316398145807059e-05,16,10.63679466562595
50,46,2,41,False,0.00010967988088198475,128,14.152182448853608
