SyncDate,Actual Filtered,Actual,Predicted
2023-06-03 18:00:00,14.519867,13.688461,13.67342
2023-06-03 19:00:00,14.42556,13.711538,14.040591
2023-06-03 20:00:00,14.328165,13.734615,13.732665
2023-06-03 21:00:00,14.228005,13.757692,14.099109
2023-06-03 22:00:00,14.124985,13.780769,13.776323
2023-06-03 23:00:00,14.018761,13.803846,14.159424
2023-06-04 00:00:00,13.908905,13.826923,13.854878
2023-06-04 01:00:00,13.795147,13.85,14.240303
2023-06-04 02:00:00,13.677726,13.55,13.927503
2023-06-04 03:00:00,13.55775,13.7,14.317757
2023-06-04 04:00:00,13.437466,13.65,13.936374
2023-06-04 05:00:00,13.320365,13.75,14.324031
2023-06-04 06:00:00,13.21099,14.05,13.9268265
2023-06-04 07:00:00,13.114547,14.0,14.321093
2023-06-04 08:00:00,13.036501,14.15,14.027248
2023-06-04 09:00:00,12.982087,13.85,14.4007845
2023-06-04 10:00:00,12.955742,14.0,14.103611
2023-06-04 11:00:00,12.960597,14.15,14.478429
2023-06-04 12:00:00,12.998021,13.2,14.192543
2023-06-04 13:00:00,13.067393,13.380769,14.59155
2023-06-04 14:00:00,13.166311,13.561539,14.035711
2023-06-04 15:00:00,13.290984,13.742308,14.414844
2023-06-04 16:00:00,13.436634,13.923077,14.015716
2023-06-04 17:00:00,13.597959,14.103847,14.393443
2023-06-04 18:00:00,13.769508,14.2846155,14.054162
2023-06-04 19:00:00,13.946189,14.4653845,14.414405
2023-06-04 20:00:00,14.124038,14.646153,14.238769
2023-06-04 21:00:00,14.300766,14.826923,14.594402
2023-06-04 22:00:00,14.47585,15.007692,14.46125
2023-06-04 23:00:00,14.649948,15.188461,14.850604
2023-06-05 00:00:00,14.823546,15.369231,14.728363
2023-06-05 01:00:00,14.995934,15.55,15.120765
2023-06-05 02:00:00,15.165128,15.55,15.081021
2023-06-05 03:00:00,15.3287945,15.25,15.486652
2023-06-05 04:00:00,15.486106,15.0,15.306794
2023-06-05 05:00:00,15.638663,15.0,15.762708
