SyncDate,Actual Filtered,Actual,Predicted
2023-05-30 14:00:00,2.3818371,3.4,2.4635236
2023-05-30 15:00:00,2.386892,3.5,2.6739504
2023-05-30 16:00:00,2.3914363,3.6,2.464656
2023-05-30 17:00:00,2.3953898,3.6,2.9094436
2023-05-30 18:00:00,2.3986857,3.6,2.5075636
2023-05-30 19:00:00,2.4012723,3.6,2.585026
2023-05-30 20:00:00,2.4031138,3.5,2.8380425
2023-05-30 21:00:00,2.404192,3.5,2.9890385
2023-05-30 22:00:00,2.4045057,3.5,3.2483277
2023-05-30 23:00:00,2.404069,3.4,3.3498619
2023-05-31 00:00:00,2.4029105,3.3,3.14108
2023-05-31 01:00:00,2.40107,3.3,3.4208763
2023-05-31 02:00:00,2.3985972,3.1,3.2428336
2023-05-31 03:00:00,2.3955457,2.9,3.1769147
2023-05-31 04:00:00,2.3919713,2.2,3.0204868
2023-05-31 05:00:00,2.3879287,2.0,3.0948281
2023-05-31 06:00:00,2.3834667,2.0,3.3889961
2023-05-31 07:00:00,2.3786266,1.9,3.578507
2023-05-31 08:00:00,2.3734403,1.8,3.203336
2023-05-31 09:00:00,2.3679292,1.8,3.240997
2023-05-31 10:00:00,2.3621044,1.6,2.7309988
2023-05-31 11:00:00,2.355967,1.5,2.9965885
2023-05-31 12:00:00,2.3495095,1.4,2.2700083
2023-05-31 13:00:00,2.3427174,1.5,2.7074077
2023-05-31 14:00:00,2.3355718,1.4,2.0191648
2023-05-31 15:00:00,2.328049,1.3,2.2124875
2023-05-31 16:00:00,2.3201218,1.2,1.787461
2023-05-31 17:00:00,2.3117604,1.3,2.2183397
2023-05-31 18:00:00,2.3029313,1.2,1.7111148
2023-05-31 19:00:00,2.293597,1.2,1.7928686
2023-05-31 20:00:00,2.283716,1.2,1.7719567
2023-05-31 21:00:00,2.2732437,1.2,1.8739858
2023-05-31 22:00:00,2.2621348,1.1,1.9297303
2023-05-31 23:00:00,2.2503455,1.1,2.0261457
2023-06-01 00:00:00,2.2378395,1.0,1.672149
2023-06-01 01:00:00,2.2245927,1.1,1.9827915
2023-06-01 02:00:00,2.2106001,1.0,1.756031
2023-06-01 03:00:00,2.1958797,1.0,1.7158939
2023-06-01 04:00:00,2.1804764,1.1,1.5168281
2023-06-01 05:00:00,2.1644628,1.1,1.6168481
2023-06-01 06:00:00,2.147936,1.2,1.978088
2023-06-01 07:00:00,2.131013,1.2,2.1352127
2023-06-01 08:00:00,2.11382,1.3,1.919501
2023-06-01 09:00:00,2.096485,1.4,1.965465
2023-06-01 10:00:00,2.0791256,1.5,1.5869476
2023-06-01 11:00:00,2.0618427,1.6,1.9056964
2023-06-01 12:00:00,2.0447152,1.6,1.4326327
2023-06-01 13:00:00,2.0278015,1.6,1.8694291
2023-06-01 14:00:00,2.0111475,1.6,1.3253165
2023-06-01 15:00:00,1.9947972,1.6,1.5292419
2023-06-01 16:00:00,1.97881,1.6,1.2812625
2023-06-01 17:00:00,1.9632787,1.7,1.7008588
2023-06-01 18:00:00,1.948346,1.8,1.3595963
2023-06-01 19:00:00,1.9342167,1.8,1.4625354
2023-06-01 20:00:00,1.9211626,1.9,1.5617831
2023-06-01 21:00:00,1.909517,2.0,1.6759617
2023-06-01 22:00:00,1.8996607,2.0,1.8908134
2023-06-01 23:00:00,1.8919966,2.1,1.9713602
2023-06-02 00:00:00,1.8869188,2.2,1.7861612
2023-06-02 01:00:00,1.884777,2.1,2.0879242
2023-06-02 02:00:00,1.8858426,2.1,2.0445936
2023-06-02 03:00:00,1.8902802,2.2,1.9693686
2023-06-02 04:00:00,1.8981283,2.4,1.9302446
2023-06-02 05:00:00,1.9092917,2.8,2.0221012
2023-06-02 06:00:00,1.9235497,2.5,2.5859594
2023-06-02 07:00:00,1.9405752,2.5,2.7365491
2023-06-02 08:00:00,1.9599661,2.4,2.6663778
2023-06-02 09:00:00,1.9812813,2.4,2.681731
2023-06-02 10:00:00,2.0040808,2.5,2.4061732
2023-06-02 11:00:00,2.0279603,2.6,2.6970987
2023-06-02 12:00:00,2.05258,2.6,2.204272
2023-06-02 13:00:00,2.077681,2.6,2.6582787
2023-06-02 14:00:00,2.1030903,2.7,2.1434965
2023-06-02 15:00:00,2.128712,2.8,2.3564177
2023-06-02 16:00:00,2.1545115,2.8,2.132959
2023-06-02 17:00:00,2.18049,2.7,2.5657854
2023-06-02 18:00:00,2.2066603,2.6,2.1545634
2023-06-02 19:00:00,2.2330208,2.6,2.2324421
2023-06-02 20:00:00,2.2595365,2.5,2.3629446
2023-06-02 21:00:00,2.2861276,2.5,2.484009
2023-06-02 22:00:00,2.3126645,2.5,2.6676795
2023-06-02 23:00:00,2.338976,2.4,2.7600017
2023-06-03 00:00:00,2.364865,2.4,2.4686067
2023-06-03 01:00:00,2.3901353,2.4,2.773345
2023-06-03 02:00:00,2.4146132,2.5,2.6085029
2023-06-03 03:00:00,2.438165,2.4,2.5510666
2023-06-03 04:00:00,2.4606965,2.5,2.4069364
2023-06-03 05:00:00,2.4821427,2.4,2.4882107
2023-06-03 06:00:00,2.5024562,2.6,2.9527395
2023-06-03 07:00:00,2.5216153,2.6,3.1147482
2023-06-03 08:00:00,2.5396512,3.1,2.9787834
2023-06-03 09:00:00,2.556681,2.8,2.992444
2023-06-03 10:00:00,2.5729063,2.6,2.7656193
2023-06-03 11:00:00,2.5885477,2.7,3.018588
2023-06-03 12:00:00,2.603727,2.8,2.49386
2023-06-03 13:00:00,2.618364,2.9,2.9359589
2023-06-03 14:00:00,2.632179,2.9,2.4271135
2023-06-03 15:00:00,2.644856,2.8,2.6274781
2023-06-03 16:00:00,2.656301,2.7,2.3758767
2023-06-03 17:00:00,2.6668208,2.7,2.7885942
2023-06-03 18:00:00,2.677044,2.7,2.3524978
2023-06-03 19:00:00,2.6875315,2.8,2.4186106
2023-06-03 20:00:00,2.6982768,2.8,2.5469222
2023-06-03 21:00:00,2.708465,2.8,2.661668
2023-06-03 22:00:00,2.7168012,3.0,2.8692522
2023-06-03 23:00:00,2.72237,2.9,2.9546852
2023-06-04 00:00:00,2.7255535,2.9,2.7224274
2023-06-04 01:00:00,2.7283027,2.9,3.019894
2023-06-04 02:00:00,2.73332,3.0,2.8738282
2023-06-04 03:00:00,2.7424004,3.0,2.8082144
2023-06-04 04:00:00,2.7548933,3.0,2.7334628
2023-06-04 05:00:00,2.7674723,3.2,2.7949486
2023-06-04 06:00:00,2.7758143,3.0,3.336036
2023-06-04 07:00:00,2.7775974,3.0,3.4894826
2023-06-04 08:00:00,2.7751904,3.0,3.3977687
2023-06-04 09:00:00,2.7761974,3.2,3.3969646
2023-06-04 10:00:00,2.7910354,3.4,3.127252
2023-06-04 11:00:00,2.8284178,2.9,3.3724205
2023-06-04 12:00:00,2.891015,3.0,2.8467221
2023-06-04 13:00:00,2.9737277,2.9,3.2870958
2023-06-04 14:00:00,3.065711,3.0,2.7528493
2023-06-04 15:00:00,3.1552217,3.2,2.9523304
2023-06-04 16:00:00,3.2347693,3.3,2.6671665
2023-06-04 17:00:00,3.3039002,3.3,3.0938976
2023-06-04 18:00:00,3.3683078,3.6,2.6705232
2023-06-04 19:00:00,3.4360304,3.5,2.7284114
2023-06-04 20:00:00,3.51302,3.7,2.9573379
2023-06-04 21:00:00,3.6004508,3.6,3.078167
2023-06-04 22:00:00,3.69492,3.6,3.3608954
2023-06-04 23:00:00,3.7909565,3.7,3.4531581
2023-06-05 00:00:00,3.8840616,3.8,3.291781
2023-06-05 01:00:00,3.972518,3.9,3.5508652
2023-06-05 02:00:00,4.05725,3.7,3.4322617
2023-06-05 03:00:00,4.140312,3.8,3.3538656
2023-06-05 04:00:00,4.223076,4.0,3.3482652
2023-06-05 05:00:00,4.3050547,3.9,3.4007764
2023-06-05 06:00:00,4.3843446,4.0,3.9710798
